Country,Year,Sex,Age,Population
Indonesia,2019,Male,55-59,6420
Indonesia,2020,Male,55-59,6616
Indonesia,2021,Male,55-59,6789
United States,2018,Male,55-59,10973
United States,2019,Male,55-59,10981
United States,2020,Male,55-59,10897
United States,2021,Male,55-59,10696
World,2022,Male,55-59,202007
China,2022,Male,55-59,56477
India,2022,Male,55-59,31238
Pakistan,2022,Male,55-59,3485
Indonesia,2022,Male,55-59,6952
United States,2022,Male,55-59,10489
World,2018,Female,55-59,181784
World,2019,Female,55-59,189289
World,2020,Female,55-59,196592
World,2021,Female,55-59,203476
China,2018,Female,55-59,38956
China,2019,Female,55-59,43795
China,2020,Female,55-59,48856
China,2021,Female,55-59,54039
India,2018,Female,55-59,28104
India,2019,Female,55-59,28765
India,2020,Female,55-59,29402
India,2021,Female,55-59,29954
Pakistan,2018,Female,55-59,3324
Pakistan,2019,Female,55-59,3400
Pakistan,2020,Female,55-59,3466
Pakistan,2021,Female,55-59,3522
Indonesia,2018,Female,55-59,6327
Indonesia,2019,Female,55-59,6547
Indonesia,2020,Female,55-59,6751
Indonesia,2021,Female,55-59,6937
United States,2018,Female,55-59,11366
United States,2019,Female,55-59,11367
United States,2020,Female,55-59,11292
United States,2021,Female,55-59,11100
World,2022,Female,55-59,208055
China,2022,Female,55-59,56967
India,2022,Female,55-59,30478
Pakistan,2022,Female,55-59,3575
Indonesia,2022,Female,55-59,7113
United States,2022,Female,55-59,10876
World,2018,Male,60-64,152210
World,2019,Male,60-64,154195
World,2020,Male,60-64,154991
World,2021,Male,60-64,155385
China,2018,Male,60-64,39674
China,2019,Male,60-64,38617
China,2020,Male,60-64,36523
China,2021,Male,60-64,34366
India,2018,Male,60-64,23467
India,2019,Male,60-64,24049
India,2020,Male,60-64,24595
India,2021,Male,60-64,25050
Pakistan,2018,Male,60-64,2520
Pakistan,2019,Male,60-64,2613
Pakistan,2020,Male,60-64,2699
Pakistan,2021,Male,60-64,2778
Indonesia,2018,Male,60-64,4574
Indonesia,2019,Male,60-64,4787
Indonesia,2020,Male,60-64,4990
Indonesia,2021,Male,60-64,5170
United States,2018,Male,60-64,9996
United States,2019,Male,60-64,10184
United States,2020,Male,60-64,10312
United States,2021,Male,60-64,10381
World,2022,Male,60-64,157179
China,2022,Male,60-64,33838
India,2022,Male,60-64,25464
Pakistan,2022,Male,60-64,2852
Indonesia,2022,Male,60-64,5343
United States,2022,Male,60-64,10395
World,2018,Female,60-64,163455
World,2019,Female,60-64,165393
World,2020,Female,60-64,166126
World,2021,Female,60-64,166554
China,2018,Female,60-64,41590
China,2019,Female,60-64,40380
China,2020,Female,60-64,38122
China,2021,Female,60-64,35830
India,2018,Female,60-64,23354
India,2019,Female,60-64,23967
India,2020,Female,60-64,24543
India,2021,Female,60-64,25039
Pakistan,2018,Female,60-64,2617
Pakistan,2019,Female,60-64,2727
Pakistan,2020,Female,60-64,2831
Pakistan,2021,Female,60-64,2927
Indonesia,2018,Female,60-64,4849
Indonesia,2019,Female,60-64,5072
Indonesia,2020,Female,60-64,5289
Indonesia,2021,Female,60-64,5491
United States,2018,Female,60-64,10606
United States,2019,Female,60-64,10758
United States,2020,Female,60-64,10868
United States,2021,Female,60-64,10951
World,2022,Female,60-64,168408
China,2022,Female,60-64,35205
India,2022,Female,60-64,25493
Pakistan,2022,Female,60-64,3017
Indonesia,2022,Female,60-64,5685
United States,2022,Female,60-64,10991
World,2018,Male,65-69,118168
World,2019,Male,65-69,122579
World,2020,Male,65-69,126677
World,2021,Male,65-69,129883
China,2018,Male,65-69,30894
China,2019,Male,65-69,32653
China,2020,Male,65-69,34198
China,2021,Male,65-69,35227
India,2018,Male,65-69,17534
India,2019,Male,65-69,18349
India,2020,Male,65-69,18943
India,2021,Male,65-69,19371
Pakistan,2018,Male,65-69,1724
Pakistan,2019,Male,65-69,1792
Pakistan,2020,Male,65-69,1872
Pakistan,2021,Male,65-69,1953
Indonesia,2018,Male,65-69,3070
Indonesia,2019,Male,65-69,3226
Indonesia,2020,Male,65-69,3380
Indonesia,2021,Male,65-69,3515
United States,2018,Male,65-69,7976
United States,2019,Male,65-69,8321
United States,2020,Male,65-69,8766
United States,2021,Male,65-69,8950
World,2022,Male,65-69,132743
China,2022,Male,65-69,35965
India,2022,Male,65-69,19709
Pakistan,2022,Male,65-69,2033
Indonesia,2022,Male,65-69,3650
United States,2022,Male,65-69,9023
World,2018,Female,65-69,132708
World,2019,Female,65-69,137796
World,2020,Female,65-69,142508
World,2021,Female,65-69,146246
China,2018,Female,65-69,34104
China,2019,Female,65-69,36207
China,2020,Female,65-69,37927
China,2021,Female,65-69,38994
India,2018,Female,65-69,17736
India,2019,Female,65-69,18561
India,2020,Female,65-69,19233
India,2021,Female,65-69,19774
Pakistan,2018,Female,65-69,1862
Pakistan,2019,Female,65-69,1944
Pakistan,2020,Female,65-69,2039
Pakistan,2021,Female,65-69,2140
Indonesia,2018,Female,65-69,3484
Indonesia,2019,Female,65-69,3637
Indonesia,2020,Female,65-69,3809
Indonesia,2021,Female,65-69,3977
United States,2018,Female,65-69,8833
United States,2019,Female,65-69,9181
United States,2020,Female,65-69,9637
United States,2021,Female,65-69,9819
World,2022,Female,65-69,149480
China,2022,Female,65-69,39669
India,2022,Female,65-69,20226
Pakistan,2022,Female,65-69,2239
Indonesia,2022,Female,65-69,4145
United States,2022,Female,65-69,9894
World,2018,Male,70-74,79392
World,2019,Male,70-74,83617
World,2020,Male,70-74,88189
World,2021,Male,70-74,92234
China,2018,Male,70-74,18991
China,2019,Male,70-74,20203
China,2020,Male,70-74,21694
China,2021,Male,70-74,23276
India,2018,Male,70-74,10598
India,2019,Male,70-74,11231
India,2020,Male,70-74,11996
India,2021,Male,70-74,12640
